query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS
AT5G18100.1.1;326224;0.01729;0.1634;0.1059;Carubv10002096m;0.02196;0.2333;0.09411;Thhalv10014873m;0.04897;0.212;0.231;Medtr6g029200.1;0.1572;1.053;0.1493;lcl|NW_010970490.1_cds_XP_010524984.1_38414;0.08759;0.9395;0.09323
AT5G18110.1.1;488676;0.0149;0.1505;0.099;Carubv10001909m;0.02893;0.2917;0.09919;Thhalv10014598m;0.03277;0.1716;0.1909;Medtr6g029230.1;0.1588;1.195;0.1329;lcl|NW_010970490.1_cds_XP_010524983.1_38412;0.08508;0.667;0.1276
AT5G18130.1.1;488679;0.04083;0.1153;0.354;Carubv10001731m;0.06211;0.2299;0.2702;Thhalv10014292m;0.09626;0.2314;0.4159;Medtr7g085790.1;0.5095;1.332;0.3824;lcl|NW_010966372.1_cds_XP_010549676.1_24012;0.2273;1.054;0.2157
AT5G18140.1.1;488680;0.04831;0.1804;0.2678;Carubv10001367m;0.06189;0.2884;0.2146;Thhalv10014046m;0.09399;0.3292;0.2855;Medtr7g085600.1;0.326;1.415;0.2304;lcl|NW_010966372.1_cds_XP_010549671.1_24009;0.1661;0.7063;0.2352
AT5G18170.1.1;488683;0.00608;0.1501;0.0405;Carubv10001084m;0.007728;0.1846;0.04187;Thhalv10013679m;0.01734;0.3252;0.0533;Medtr7g085630.6;0.05881;1.559;0.03773;lcl|NW_010970490.1_cds_XP_010524979.1_38408;0.03929;0.8398;0.04678
AT5G18200.1.1;488687;0.02328;0.204;0.1141;Carubv10001018m;0.05913;0.2532;0.2335;Thhalv10013996m;0.05426;0.3523;0.154;Medtr6g029470.2;0.2601;2.322;0.112;lcl|NW_010967707.1_cds_XP_010558718.1_32286;0.1177;0.8407;0.14
AT5G18230.1.1;488691;0.008459;0.1183;0.07151;Carubv10000212m;0.03083;0.191;0.1615;Thhalv10012675m;0.03943;0.2589;0.1523;Medtr7g085350.2;0.2314;1.432;0.1616;lcl|NW_010966372.1_cds_XP_010549612.1_23951;0.13;0.6854;0.1897
AT5G18270.1.1;326242;0.01731;0.1197;0.1446;Carubv10001373m;0.03583;0.2384;0.1503;Thhalv10014060m;0.03255;0.2814;0.1157;Medtr7g085260.1;0.2665;3.176;0.08389;lcl|NW_010966372.1_cds_XP_010549618.1_23958;0.1186;0.906;0.1309
AT5G18280.1.1;941351;0.01231;0.1168;0.1054;Carubv10003081m;0.02118;0.2032;0.1042;Thhalv10013440m;0.03123;0.2214;0.1411;Medtr7g085090.1;0.196;1.567;0.125;lcl|NW_010967707.1_cds_XP_010558706.1_32275;0.08869;0.7499;0.1183
AT5G18310.2.1;488704;0.01909;0.08914;0.2141;Carubv10002130m;0.05455;0.1574;0.3466;Thhalv10014852m;0.07692;0.2641;0.2913;Medtr7g116610.1;0.4255;2.835;0.1501;lcl|NW_010966372.1_cds_XP_010549624.1_23962;0.205;0.7304;0.2806
AT5G18390.1.1;488711;0.01767;0.1657;0.1066;Carubv10000860m;0.01204;0.25;0.04815;Thhalv10013477m;0.04183;0.3886;0.1076;Medtr4g094245.2;0.2493;2.552;0.09771;lcl|NW_010966372.1_cds_XP_010549633.1_23974;0.09704;1.142;0.08499
AT5G18400.3.1;488714;0.02577;0.1203;0.2142;Carubv10002685m;0.05748;0.1919;0.2996;Thhalv10015717m;0.07874;0.2884;0.2731;Medtr4g074480.1;0.3406;NA;NA;lcl|NW_010970490.1_cds_XP_010524959.1_38390;0.1781;0.776;0.2296
AT5G18410.2.1;488716;0.002173;0.09896;0.02196;Carubv10000053m;0.003641;0.1384;0.02631;Thhalv10012457m;0.008936;0.2298;0.03888;Medtr7g116590.1;0.08897;1.392;0.06392;lcl|NW_010966372.1_cds_XP_010549637.1_23977;0.03425;0.5352;0.06399
AT5G18460.1.1;488725;0.0147;0.1303;0.1129;Carubv10000988m;0.02881;0.2455;0.1174;Thhalv10013595m;0.0323;0.3268;0.09885;Medtr1g079730.1;0.1892;1.361;0.139;lcl|NW_010970490.1_cds_XP_010524957.1_38388;0.1289;0.8051;0.1601
AT5G18475.1.1;488727;0.03163;0.1495;0.2116;Carubv10000771m;0.06914;0.221;0.3129;Thhalv10010303m;0.08487;0.3776;0.2248;Medtr3g100600.1;0.3309;1.325;0.2497;lcl|NW_010960187.1_cds_XP_010530204.1_739;0.1981;0.8274;0.2394
AT5G18480.1.1;488728;0.01965;0.1151;0.1708;Carubv10000689m;0.03503;0.1768;0.1981;Thhalv10013196m;0.05358;0.3218;0.1665;Medtr7g115460.1;0.2227;1.81;0.123;lcl|NW_010967707.1_cds_XP_010558734.1_32303;0.09128;0.6336;0.1441
AT5G18520.1.1;488733;0.01153;0.1379;0.08359;Carubv10000963m;0.01095;0.2658;0.04122;Thhalv10013548m;0.01627;0.4111;0.03957;Medtr7g100360.1;0.1411;1.249;0.113;lcl|NW_010962392.1_cds_XP_010529751.1_6312;0.06193;0.9379;0.06603
AT5G18525.1.1;893776;0.03558;0.1202;0.2962;Carubv10002715m;0.05034;0.1924;0.2616;Thhalv10012423m;0.05028;0.2167;0.232;Medtr1g102710.1;0.3075;1.273;0.2416;lcl|NW_010966177.1_cds_XP_010546930.1_21603;0.1543;0.544;0.2836
AT5G18550.1.1;488738;0.01787;0.1255;0.1424;Carubv10000876m;0.05053;0.2844;0.1777;Thhalv10013460m;0.07486;0.293;0.2555;Medtr2g019740.1;0.3531;2.219;0.1592;lcl|NW_010967707.1_cds_XP_010558473.1_32058;0.1502;0.8394;0.1789
AT5G18560.1.1;488739;0.02628;0.0912;0.2882;Carubv10002663m;0.02601;0.1954;0.1331;Thhalv10014022m;0.04889;0.2267;0.21560000000000001;Medtr4g119270.1;0.444;1.789;0.2482;lcl|NW_010967707.1_cds_XP_010558474.1_32059;0.1565;0.818;0.1914
AT5G18570.1.1;488740;0.01364;0.1456;0.09365;Carubv10000381m;0.02137;0.2164;0.09878;Thhalv10012865m;0.04124;0.2992;0.1378;Medtr2g019790.2;0.2314;1.406;0.1646;lcl|NW_010970490.1_cds_XP_010524752.1_38197;0.124;0.9389;0.132
AT5G18580.1.1;941384;0.007961;0.1143;0.06964;Carubv10000854m;0.009481;0.2383;0.03979;Thhalv10013373m;0.02243;0.3181;0.07053;Medtr4g119230.1;0.06003;1.414;0.04244;lcl|NW_010966177.1_cds_XP_010546923.1_21596;0.03593;0.5835;0.06159
AT5G18590.2.1;488743;0.02074;0.1192;0.174;Carubv10000793m;0.03915;0.2352;0.1664;Thhalv10012828m;0.03496;0.2513;0.1391;Medtr4g119100.6;0.2222;1.877;0.1184;lcl|NW_010970490.1_cds_XP_010524755.1_38200;0.09153;0.9513;0.09622
AT5G18600.1.1;488744;0.02175;0.1152;0.1888;Carubv10002321m;0.02327;0.3215;0.07239;Thhalv10015538m;0.02345;0.3058;0.07666;Medtr4g119050.1;0.1172;1.146;0.1023;lcl|NW_010967707.1_cds_XP_010558476.1_32060;0.06469;1.212;0.05336
AT5G18610.3.1;941387;0.00176;0.1211;0.01454;Carubv10000743m;0.01151;0.1984;0.058;Thhalv10013282m;0.01529;0.2976;0.05138;Medtr2g019990.1;0.1174;1.635;0.07182;lcl|NW_010967707.1_cds_XP_010558479.1_32062;0.05966;0.9764;0.0611
AT5G18620.2.1;488746;0.01767;0.08814;0.2004;Carubv10000097m;0.009498;0.2192;0.04332;Thhalv10012527m;0.02931;0.2452;0.1195;Medtr4g118845.2;0.04578;1.483;0.03086;lcl|NW_010966177.1_cds_XP_010546919.1_21591;0.04444;0.6077;0.07313
AT5G18650.1.1;941391;0.01123;0.06403;0.1754;Carubv10001726m;0.02798;0.1933;0.1448;Thhalv10014400m;0.03763;0.2895;0.13;Medtr2g020040.1;0.1075;1.322;0.08131;lcl|NW_010970490.1_cds_XP_010524760.1_38205;0.05944;0.6956;0.08545
AT5G18660.1.1;488753;0.01138;0.2003;0.05683;Carubv10003017m;0.03325;0.2432;0.1367;Thhalv10013668m;0.05321;0.4146;0.1283;Medtr2g020160.1;0.1611;1.334;0.1207;lcl|NW_010970490.1_cds_XP_010524762.1_38207;0.1023;0.8159;0.1254
AT5G18670.1.1;941394;0.03048;0.1532;0.199;Carubv10000685m;0.0511;0.3484;0.1467;Thhalv10013215m;0.06001;0.3255;0.1844;Medtr2g020240.1;0.3064;1.871;0.1638;lcl|NW_010967707.1_cds_XP_010558493.1_32076;0.1685;1.137;0.1482
AT5G18700.1.1;488757;0.01622;0.0912;0.1779;Carubv10000045m;0.02794;0.1943;0.1438;Thhalv10012450m;0.04195;0.2438;0.172;Medtr2g020380.1;0.2192;1.523;0.144;lcl|NW_010966177.1_cds_XP_010548785.1_21588;0.09511;0.6654;0.1429
AT5G18750.1.1;941407;0.04278;0.1193;0.3586;Carubv10000173m;0.09544;0.2542;0.3755;Thhalv10012639m;0.1447;0.3376;0.4286;Medtr2g020420.2;0.4518;2.463;0.1835;lcl|NW_010967707.1_cds_XP_010558496.1_32079;0.3312;1.102;0.3005
AT5G18800.2.1;488766;0.0;0.1605;0.0;Carubv10002312m;0.0;0.3315;0.0;Thhalv10015085m;0.01004;0.3154;0.03183;Medtr8g035900.1;0.08636;2.457;0.03515;lcl|NW_010966177.1_cds_XP_010546912.1_21585;0.06974;0.9766;0.07141
AT5G18820.1.1;488768;0.01331;0.1467;0.09074;Carubv10000568m;0.02736;0.2529;0.1082;Thhalv10013085m;0.03635;0.3246;0.112;Medtr4g084130.1;0.1868;1.402;0.1332;lcl|NW_010965451.1_cds_XP_010540666.1_16016;0.09781;0.8263;0.1184
AT5G18840.1.1;488771;0.01804;0.1308;0.1379;Carubv10000842m;0.03407;0.2745;0.1241;Thhalv10013389m;0.04162;0.2748;0.1515;Medtr4g118610.1;0.1986;1.675;0.1185;lcl|NW_010966177.1_cds_XP_010546910.1_21583;0.08394;1.001;0.08388
AT5G18860.2.1;893806;0.0299;0.1188;0.2516;Carubv10000179m;0.03662;0.2478;0.1478;Thhalv10012637m;0.05593;0.2833;0.1974;Medtr4g118590.1;0.2383;2.31;0.1032;lcl|NW_010967707.1_cds_XP_010558509.1_32093;0.1298;1.087;0.1194
AT5G18900.1.1;488774;0.02358;0.1505;0.1567;Carubv10001574m;0.02058;0.1964;0.1048;Thhalv10014223m;0.03484;0.2451;0.1422;Medtr2g020800.1;0.1538;1.572;0.09789;lcl|NW_010966177.1_cds_XP_010546909.1_21580;0.07601;0.7949;0.09563
AT5G18910.1.1;941423;0.01293;0.1009;0.1281;Carubv10003395m;0.02981;0.2161;0.138;Thhalv10013242m;0.04012;0.2253;0.1781;Medtr2g020810.1;0.1972;1.853;0.1064;lcl|NW_010966177.1_cds_XP_010546905.1_21579;0.1089;0.8471;0.1286
AT5G18920.1.1;893810;0.0;0.09218;0.0;Carubv10002377m;0.05136;0.4426;0.1161;Thhalv10015193m;0.02232;0.2367;0.09427;Medtr2g020920.2;0.2569;0.9775;0.2628;lcl|NW_010970490.1_cds_XP_010524776.1_38219;0.1639;0.4367;0.3754
AT5G18930.1.1;488776;0.01033;0.2276;0.0454;Carubv10003664m;0.0227;0.3856;0.05887;Thhalv10013987m;0.0376;0.375;0.1002;Medtr4g118320.1;0.2524;2.079;0.1214;lcl|NW_010966177.1_cds_XP_010546901.1_21575;0.1092;1.122;0.09727
AT5G18940.1.1;941426;0.01902;0.1279;0.1488;Carubv10001329m;0.0179;0.2091;0.08562;Thhalv10014002m;0.02361;0.2796;0.08447;Medtr2g021040.1;0.1293;1.413;0.09145;lcl|NW_010966177.1_cds_XP_010546898.1_21573;0.0466;0.5966;0.07812
AT5G18970.1.1;488781;0.01614;0.1103;0.1463;Carubv10002111m;0.01484;0.2821;0.05261;Thhalv10014847m;0.03499;0.1781;0.1964;Medtr4g117600.1;0.1968;2.617;0.07522;lcl|NW_010966177.1_cds_XP_010546820.1_21496;0.09039;0.822;0.11
AT5G18980.1.1;488782;0.009667;0.115;0.08403;Carubv10000220m;0.03183;0.2415;0.1318;Thhalv10012681m;0.0467;0.3302;0.1414;Medtr2g021310.1;0.2285;2.512;0.09097;lcl|NW_010966665.1_cds_XP_010551784.1_25899;0.1261;0.9267;0.136
AT5G19010.1.1;488785;0.006291;0.1021;0.06164;Carubv10003167m;0.009148;0.2521;0.03629;Thhalv10013120m;0.01379;0.324;0.04256;Medtr2g021330.2;0.1027;1.411;0.07275;lcl|NW_010970490.1_cds_XP_010524786.1_38229;0.07065;0.6616;0.1068
AT5G19030.1.1;893821;0.07922;0.177;0.4475;Carubv10002089m;0.1604;0.4243;0.3781;Thhalv10014796m;0.1515;0.3794;0.3993;Medtr4g117350.1;0.5513;1.571;0.3509;lcl|NW_010970490.1_cds_XP_010524789.1_38232;0.2805;0.6304;0.4449
AT5G19040.3.1;941436;0.01758;0.1845;0.0953;Carubv10001408m;0.03005;0.3932;0.07642;Thhalv10015859m;0.07119;0.4001;0.1779;Medtr2g022140.1;0.3708;2.041;0.1817;lcl|NW_010966665.1_cds_XP_010551776.1_25891;0.09457;1.046;0.09042
AT5G19050.1.1;488788;0.003816;0.1864;0.02047;Carubv10003912m;0.01182;0.2727;0.04334;Thhalv10013904m;0.01305;0.3011;0.04334;Medtr4g117310.1;0.1441;1.338;0.1077;lcl|NW_010966177.1_cds_XP_010546831.1_21507;0.05381;0.5569;0.09662
AT5G19070.1.1;488790;0.003294;0.09342;0.03526;Carubv10001651m;0.03093;0.2352;0.1315;Thhalv10014319m;0.02788;0.2689;0.1037;Medtr2g022180.1;0.1836;1.394;0.1317;lcl|NW_010970490.1_cds_XP_010524792.1_38235;0.1094;0.842;0.1299
AT5G19130.1.1;488797;0.019;0.1286;0.1477;Carubv10000352m;0.02937;0.2144;0.137;Thhalv10012831m;0.04487;0.2822;0.159;Medtr8g094170.1;0.2912;2.188;0.1331;lcl|NW_010966933.1_cds_XP_010555159.1_28930;0.174;0.7364;0.2363
AT5G19140.1.1;488799;0.00743;0.1766;0.04207;Carubv10001867m;0.01527;0.25;0.0611;Thhalv10014569m;0.03644;0.2452;0.1486;Medtr2g022520.1;0.1181;1.731;0.06819;lcl|NW_010966177.1_cds_XP_010546841.1_21519;0.09876;1.099;0.08987
AT5G19150.2.1;941455;0.02157;0.09174;0.2352;Carubv10002409m;0.0325;0.2453;0.1325;Thhalv10013830m;0.03346;0.2167;0.1544;Medtr2g022530.3;0.1792;1.343;0.1334;lcl|NW_010966177.1_cds_XP_010546846.1_21520;0.1258;0.8371;0.1503
AT5G19151.1.1;488800;0.01055;0.06294;0.1675;Carubv10003389m;0.2528;0.3501;0.722;Thhalv10016117m;0.04811;0.2485;0.1936;Medtr2g022540.1;0.4178;NA;NA;lcl|NW_010966177.1_cds_XP_010546845.1_21522;0.1783;0.7622;0.234
AT5G19180.1.1;941463;0.01418;0.105;0.1351;Carubv10000952m;0.07032;0.2468;0.285;Thhalv10013467m;0.07542;0.3626;0.208;Medtr4g131690.1;0.1473;1.447;0.1019;lcl|NW_010966177.1_cds_XP_010546849.1_21525;0.0844;0.6525;0.1293
AT5G19190.1.1;488803;0.01506;0.07493;0.201;Carubv10002189m;0.02907;0.1264;0.23;Thhalv10014937m;0.06745;0.112;0.602;Medtr4g131720.1;0.4391;NA;NA;lcl|NW_010966177.1_cds_XP_010546850.1_21526;0.2033;0.6311;0.3221
AT5G19210.2.1;488806;0.0232;0.131;0.1771;Carubv10003807m;0.04179;0.2252;0.1856;Thhalv10013438m;0.0544;0.2433;0.2236;Medtr4g131750.1;0.2523;1.621;0.1556;lcl|NW_010966665.1_cds_XP_010551761.1_25878;0.1228;0.6317;0.1943
AT5G19220.1.1;488807;0.01528;0.1;0.1527;Carubv10002818m;0.02594;0.2138;0.1213;Thhalv10013265m;0.03629;0.2223;0.1632;Medtr4g131760.1;0.1454;1.377;0.1056;lcl|NW_010966665.1_cds_XP_010551763.1_25877;0.08833;0.6508;0.1357
AT5G19260.1.1;488810;0.03989;0.1516;0.2631;Carubv10001612m;0.07126;0.2246;0.3173;Thhalv10015905m;0.08264;0.2302;0.359;Medtr1g105360.1;0.4646;1.897;0.2449;lcl|NW_010966177.1_cds_XP_010546870.1_21550;0.2416;0.9233;0.2616
AT5G19280.1.1;488811;0.02545;0.07875;0.3232;Carubv10003567m;0.06107;0.1852;0.3297;Thhalv10013082m;0.06827;0.2196;0.311;Medtr5g005810.1;0.2992;1.741;0.1719;lcl|NW_010966665.1_cds_XP_010551760.1_25876;0.164;0.5733;0.2861
AT5G19300.1.1;941477;0.02252;0.0819;0.275;Carubv10001127m;0.04377;0.1751;0.25;Thhalv10013731m;0.05626;0.1633;0.3446;Medtr1g105065.1;0.2112;1.283;0.1647;lcl|NW_010966177.1_cds_XP_010546891.1_21555;0.134;0.6955;0.1926
AT5G19320.2.1;941479;0.02239;0.149;0.1503;Carubv10000639m;0.03725;0.244;0.1527;Thhalv10013175m;0.05262;0.2735;0.1924;Medtr1g105040.1;0.2039;1.486;0.1372;lcl|NW_010966177.1_cds_XP_010546816.1_21491;0.1187;0.6974;0.1702
AT5G19330.1.1;488817;0.004841;0.10780000000000001;0.04489;Carubv10000338m;0.009848;0.1718;0.05733;Thhalv10012813m;0.0245;0.232;0.1056;Medtr1g104870.1;0.1238;1.622;0.07635;lcl|NW_010966177.1_cds_XP_010546812.1_21489;0.06086;0.5731;0.1062
AT5G19370.1.1;488823;0.02929;0.09145;0.3203;Carubv10001587m;0.04602;0.2064;0.223;Thhalv10014227m;0.06834;0.2338;0.2923;Medtr5g089330.1;0.2521;2.221;0.1135;lcl|NW_010965304.1_cds_XP_010536124.1_11963;0.192;0.7725;0.2486
AT5G19390.2.1;488825;0.01215;0.07173;0.1694;Carubv10000194m;0.02287;0.1767;0.1294;Thhalv10012654m;0.03268;0.1887;0.1732;Medtr5g089490.1;0.199;1.265;0.1573;lcl|NW_010968505.1_cds_XP_010519803.1_33762;0.1012;0.5035;0.2009
AT5G19440.1.1;488833;0.02055;0.1329;0.1547;Carubv10001167m;0.04194;0.3269;0.1283;Thhalv10014099m;0.03732;0.4044;0.0923;Medtr3g005170.1;0.1577;1.68;0.09382;lcl|NW_010968505.1_cds_XP_010519769.1_33729;0.08204;1.132;0.07246
AT5G19460.1.1;941494;0.04092;0.1552;0.2638;Carubv10001185m;0.06678;0.275;0.2428;Thhalv10013889m;0.05622;0.2632;0.2136;Medtr6g086510.1;0.2937;1.994;0.1473;lcl|NW_010968505.1_cds_XP_010520685.1_34477;0.1853;0.7422;0.2497
AT5G19485.1.1;488841;0.0167;0.1172;0.1425;Carubv10000850m;0.02165;0.2409;0.08987;Thhalv10013503m;0.03654;0.2094;0.1745;Medtr8g085640.1;0.1894;1.355;0.1398;lcl|NW_010965304.1_cds_XP_010536148.1_11985;0.07934;0.6173;0.1285
AT5G19490.1.1;893880;0.07294;0.1319;0.5531;Carubv10001764m;0.08361;0.2645;0.316;Thhalv10014454m;0.1169;0.239;0.4889;Medtr5g088760.2;0.3613;NA;NA;lcl|NW_010965304.1_cds_XP_010536151.1_11991;0.2361;1.147;0.2057
AT5G19500.1.1;941500;0.02599;0.1265;0.2055;Carubv10002646m;0.05943;0.28;0.2122;Thhalv10013310m;0.06674;0.2836;0.2353;Medtr5g088730.1;0.2198;1.494;0.1471;lcl|NW_010965304.1_cds_XP_010536150.1_11987;0.1277;0.7866;0.1623
AT5G19530.1.1;941503;0.006628;0.1214;0.05462;Carubv10001364m;0.02276;0.1904;0.1195;Thhalv10013833m;0.02453;0.274;0.08952;Medtr1g015300.1;0.1861;1.347;0.1381;lcl|NW_010965304.1_cds_XP_010536155.1_11995;0.08089;0.7348;0.1101
AT5G19540.2.1;488848;0.02841;0.1587;0.1791;Carubv10003701m;0.02796;0.2996;0.09332;Thhalv10013469m;0.06815;0.3378;0.2017;Medtr6g088460.1;0.2612;1.957;0.1335;lcl|NW_010965304.1_cds_XP_010536007.1_11850;0.1433;0.9292;0.1542
AT5G19570.1.1;488851;0.02574;0.087;0.2959;Carubv10002735m;0.06541;0.3607;0.1813;Thhalv10014912m;0.04568;0.3837;0.1191;Medtr8g102920.1;0.281;1.407;0.1997;lcl|NW_010964923.1_cds_XP_010533152.1_9344;0.1467;1.438;0.102
AT5G19580.1.1;488852;0.01816;0.1101;0.165;Carubv10000533m;0.04946;0.2954;0.1674;Thhalv10013037m;0.07797;0.5076;0.1536;Medtr8g102900.1;0.4401;NA;NA;lcl|NW_010965304.1_cds_XP_010535983.1_11828;0.1718;1.407;0.1221
AT5G19590.2.1;488853;0.01478;0.217;0.06812;Carubv10002186m;0.03728;0.3972;0.09384;Thhalv10014922m;0.07713;0.7044;0.1095;Medtr6g086680.1;0.259;1.148;0.2255;lcl|NW_010965304.1_cds_XP_010535997.1_11840;0.1599;1.487;0.1075
AT5G19600.1.1;488854;0.009334;0.1226;0.07615;Carubv10000408m;0.03736;0.3474;0.1075;Thhalv10012949m;0.06226;0.3395;0.1834;Medtr6g086170.1;0.2872;2.473;0.1161;lcl|NW_010968505.1_cds_XP_010519702.1_33665;0.12;1.334;0.08998
AT5G19610.1.1;488855;0.00928;0.1825;0.05084;Carubv10003761m;0.02681;0.3652;0.0734;Thhalv10012445m;0.034;0.4581;0.07421;Medtr6g086260.1;0.2362;2.733;0.08644;lcl|NW_010968505.1_cds_XP_010519703.1_33666;0.1007;1.449;0.0695
AT5G19620.1.1;941512;0.01942;0.1037;0.1873;Carubv10000309m;0.03068;0.195;0.1573;Thhalv10012770m;0.06006;0.2768;0.217;Medtr2g098110.1;0.1553;1.47;0.1056;lcl|NW_010968505.1_cds_XP_010519730.1_33693;0.09497;0.6295;0.1509
AT5G19630.1.1;488857;0.01517;0.1187;0.1279;Carubv10001818m;0.02723;0.1856;0.1468;Thhalv10014585m;0.03864;0.2863;0.135;Medtr8g092560.3;0.2075;1.452;0.1429;lcl|NW_010965304.1_cds_XP_010536026.1_11865;0.1298;0.8388;0.1547
AT5G19640.1.1;351064;0.01409;0.1788;0.07882;Carubv10003886m;0.03202;0.2758;0.1161;Thhalv10015614m;0.07126;0.4002;0.1781;Medtr7g005930.1;0.2394;NA;NA;lcl|NW_010968505.1_cds_XP_010519721.1_33684;0.1236;1.477;0.08366
AT5G19650.1.1;941515;0.01192;0.08288;0.1438;Carubv10001873m;0.04431;0.2534;0.1749;Thhalv10015317m;0.09636;0.3449;0.2794;Medtr8g103520.1;0.4008;2.267;0.1768;lcl|NW_010965304.1_cds_XP_010536003.1_11846;0.191;1.096;0.1743
AT5G19660.1.1;351066;0.03016;0.1234;0.2444;Carubv10000118m;0.03806;0.2044;0.1862;Thhalv10012541m;0.03543;0.2024;0.175;Medtr6g087520.1;0.1558;1.627;0.09575;lcl|NW_010960630.1_cds_XP_010527671.1_4425;0.09114;0.6545;0.1393
AT5G19670.2.1;488861;0.0319;0.1454;0.2195;Carubv10000494m;0.05724;0.3034;0.1887;Thhalv10013011m;0.06031;0.3527;0.171;Medtr8g102840.1;0.3221;NA;NA;lcl|NW_010965304.1_cds_XP_010535967.1_11812;0.144;0.8902;0.1617
AT5G19680.1.1;488862;0.01918;0.1145;0.1676;Carubv10001424m;0.03223;0.2248;0.1434;Thhalv10014089m;0.04216;0.2339;0.1802;Medtr8g102770.2;0.1804;1.67;0.108;lcl|NW_010965304.1_cds_XP_010535961.1_11807;0.1033;0.5011;0.2062
AT5G19690.1.1;488863;0.007584;0.07936;0.09556;Carubv10000271m;0.01423;0.1679;0.08473;Thhalv10012742m;0.02254;0.1918;0.1175;Medtr1g114250.1;0.08475;1.418;0.05977;lcl|NW_010968505.1_cds_XP_010519673.1_33639;0.05379;0.5239;0.1027
AT5G19730.1.1;488866;0.01118;0.1388;0.08053;Carubv10001159m;0.02201;0.2641;0.08336;Thhalv10013810m;0.03171;0.2758;0.115;Medtr8g102380.1;0.1688;1.191;0.1417;lcl|NW_010965304.1_cds_XP_010535938.1_11785;0.09066;0.9107;0.09955
AT5G19740.1.1;488867;0.02906;0.1456;0.1995;Carubv10002906m;0.04437;0.3091;0.1435;Thhalv10012881m;0.06342;0.4044;0.1568;Medtr6g088825.1;0.2501;1.446;0.173;lcl|NW_010965304.1_cds_XP_010535936.1_11784;0.1481;0.8705;0.1702
AT5G19750.1.1;941526;0.07786;0.1773;0.4392;Carubv10003188m;0.0684;0.2339;0.2925;Thhalv10014288m;0.1115;0.2445;0.4561;Medtr7g088590.2;0.3397;1.197;0.2838;lcl|NW_010968505.1_cds_XP_010520630.1_33631;0.165;0.6818;0.242
AT5G19760.1.1;488869;0.009087;0.1357;0.06696;Carubv10001580m;0.02687;0.3097;0.08676;Thhalv10014226m;0.02956;0.3526;0.08383;Medtr8g086070.1;0.09334;1.287;0.0725;lcl|NW_010965304.1_cds_XP_010535937.1_11783;0.06444;0.8547;0.0754
AT5G19780.1.1;488873;0.0;0.1685;0.0;Carubv10002583m;0.002262;0.4469;0.005062;Thhalv10013523m;0.0;0.4075;0.0;Medtr8g085980.1;0.0113;1.253;0.009021;lcl|NW_010963495.1_cds_XP_010531152.1_7561;0.003478;0.8054;0.004318
AT5G19790.1.1;941530;0.01478;0.1201;0.1231;Carubv10002733m;0.04546;0.3109;0.1462;Thhalv10015715m;0.06307;0.3224;0.1956;Medtr7g085810.1;0.481;NA;NA;lcl|NW_010968505.1_cds_XP_010519663.1_33629;0.1653;1.358;0.1217
AT5G19820.1.1;488877;0.01059;0.1166;0.09083;Carubv10000085m;0.01281;0.2318;0.05525;Thhalv10012502m;0.01737;0.2708;0.06416;Medtr8g085950.1;0.1091;1.328;0.08219;lcl|NW_010965304.1_cds_XP_010535932.1_11780;0.04444;0.6624;0.06709
AT5G19830.1.1;326378;0.01646;0.2462;0.06683;Carubv10001929m;0.03712;0.3026;0.1227;Thhalv10015697m;0.04455;0.2108;0.2113;Medtr8g085910.1;0.1772;1.53;0.1158;lcl|NW_010968505.1_cds_XP_010519661.1_33627;0.09833;0.6831;0.1439
AT5G19840.1.1;488878;0.03535;0.1007;0.3511;Carubv10000670m;0.08394;0.2243;0.3742;Thhalv10013262m;0.09262;0.2487;0.3723;Medtr1g071300.1;0.3438;1.601;0.2148;lcl|NW_010965304.1_cds_XP_010535926.1_11773;0.1858;0.5825;0.3189
AT5G19850.1.1;488879;0.02054;0.1275;0.1611;Carubv10001254m;0.02306;0.184;0.1254;Thhalv10013775m;0.03591;0.2701;0.1329;Medtr5g056200.1;0.1981;2.128;0.09309;lcl|NW_010965304.1_cds_XP_010535924.1_11771;0.1094;0.8174;0.1338
AT5G19855.1.1;941535;0.0346;0.13;0.2662;Carubv10002631m;0.03946;0.2339;0.1687;Thhalv10015929m;0.091;0.2452;0.3711;Medtr3g061630.2;0.2651;1.626;0.163;lcl|NW_010963495.1_cds_XP_010531148.1_7558;0.1541;1.094;0.1409
AT5G19860.1.1;326382;0.01644;0.1927;0.0853;Carubv10003176m;0.06165;0.3354;0.1838;Thhalv10014810m;0.08512;0.3511;0.2424;Medtr8g085580.1;0.3369;1.339;0.2516;lcl|NW_010963495.1_cds_XP_010531144.1_7554;0.157;0.7368;0.2132
